Year,Date,PlotDate,Daily_precipitation_mm,Cumulative_precipitation_mm
2025,2025-06-18,2000-06-18,12.6,139.50000000000003
2025,2025-06-19,2000-06-19,8.6,148.10000000000002
2025,2025-06-20,2000-06-20,0.3,148.40000000000003
2025,2025-06-21,2000-06-21,1.7,150.10000000000002
2025,2025-06-22,2000-06-22,0,150.10000000000002
2025,2025-06-23,2000-06-23,0,150.10000000000002
2025,2025-06-24,2000-06-24,0,150.10000000000002
2025,2025-06-25,2000-06-25,1.1,151.20000000000002
2025,2025-06-26,2000-06-26,0,151.20000000000002
2025,2025-06-27,2000-06-27,13.5,164.70000000000002
2025,2025-06-28,2000-06-28,0,164.70000000000002
2025,2025-06-29,2000-06-29,0,164.70000000000002
2025,2025-06-30,2000-06-30,0,164.70000000000002
2025,2025-07-01,2000-07-01,0,164.70000000000002
2025,2025-07-02,2000-07-02,0,164.70000000000002
2025,2025-07-03,2000-07-03,0.1,164.8
2025,2025-07-04,2000-07-04,0,164.8
2025,2025-07-05,2000-07-05,0,164.8
2025,2025-07-06,2000-07-06,0.1,164.9
2025,2025-07-07,2000-07-07,0.1,165
2025,2025-07-08,2000-07-08,0,165
2025,2025-07-09,2000-07-09,0,165
2025,2025-07-10,2000-07-10,0,165
2025,2025-07-11,2000-07-11,0.1,165.1
2025,2025-07-12,2000-07-12,0,165.1
2025,2025-07-13,2000-07-13,0,165.1
2025,2025-07-14,2000-07-14,0,165.1
2025,2025-07-15,2000-07-15,0,165.1
2025,2025-07-16,2000-07-16,0,165.1
2025,2025-07-17,2000-07-17,4.6,169.7
2025,2025-07-18,2000-07-18,0,169.7
2025,2025-07-19,2000-07-19,17.3,187
2025,2025-07-20,2000-07-20,0.2,187.2
2025,2025-07-21,2000-07-21,0,187.2
2025,2025-07-22,2000-07-22,0,187.2
2025,2025-07-23,2000-07-23,0,187.2
2025,2025-07-24,2000-07-24,0,187.2
2025,2025-07-25,2000-07-25,0,187.2
2025,2025-07-26,2000-07-26,4.4,191.6
2025,2025-07-27,2000-07-27,0.1,191.7
2025,2025-07-28,2000-07-28,0,191.7
2025,2025-07-29,2000-07-29,0,191.7
2025,2025-07-30,2000-07-30,7.6,199.29999999999998
2025,2025-07-31,2000-07-31,0.5,199.79999999999998
2025,2025-08-01,2000-08-01,0,199.79999999999998
2025,2025-08-02,2000-08-02,0,199.79999999999998
2025,2025-08-03,2000-08-03,0,199.79999999999998
2025,2025-08-04,2000-08-04,0,199.79999999999998
2025,2025-08-05,2000-08-05,0,199.79999999999998
2025,2025-08-06,2000-08-06,0,199.79999999999998
2025,2025-08-07,2000-08-07,0,199.79999999999998
2025,2025-08-08,2000-08-08,1.7,201.49999999999997
2025,2025-08-09,2000-08-09,0,201.49999999999997
2025,2025-08-10,2000-08-10,0,201.49999999999997
2025,2025-08-11,2000-08-11,0,201.49999999999997
2025,2025-08-12,2000-08-12,50.6,252.09999999999997
2025,2025-08-13,2000-08-13,1.6,253.69999999999996
2025,2025-08-14,2000-08-14,0,253.69999999999996
2025,2025-08-15,2000-08-15,0,253.69999999999996
2025,2025-08-16,2000-08-16,0.8,254.49999999999997
2025,2025-08-17,2000-08-17,0,254.49999999999997
2025,2025-08-18,2000-08-18,0,254.49999999999997
2025,2025-08-19,2000-08-19,51.7,306.2
2025,2025-08-20,2000-08-20,0,306.2
2025,2025-08-21,2000-08-21,0,306.2
2025,2025-08-22,2000-08-22,0,306.2
2025,2025-08-23,2000-08-23,0,306.2
2025,2025-08-24,2000-08-24,1.4,307.59999999999997
2025,2025-08-25,2000-08-25,0.2,307.79999999999995
2025,2025-08-26,2000-08-26,0,307.79999999999995
2025,2025-08-27,2000-08-27,0,307.79999999999995
2025,2025-08-28,2000-08-28,3.6,311.4
2025,2025-08-29,2000-08-29,0,311.4
2025,2025-08-30,2000-08-30,0,311.4
2025,2025-08-31,2000-08-31,0,311.4
2025,2025-09-01,2000-09-01,0,311.4
2025,2025-09-02,2000-09-02,0,311.4
