DateTime,DOY,CHK__1_1_1,DAQM_T_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_1_1,SWC_2_1_1,TA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,n_SHF,n_TS,n_SWC,SHF,TS,SWC
2024-01-02T11:00:00Z,2.2499,114.567,5.37787,12.1515,-7.51e-4,0,-1.49e-4,82.8863,-5.61871,-13.4616,-9.7579,-9.26705,0.128676,NA,271.668,275.408,276.136,NA,3,2,1,-10.82885,275.77200000000005,0.128676
2024-01-02T11:30:00Z,2.2707,126.633,5.31875,12.1525,-6.84e-4,0,-2.83e-4,84.3658,-5.47163,-13.5699,-9.77662,-9.36906,0.128644,NA,271.576,275.394,276.114,NA,3,2,1,-10.905193333333333,275.754,0.128644
2024-01-02T12:00:00Z,2.2916,111.4,5.23672,12.1518,-8.2e-4,0,-2.59e-4,83.3908,-5.74154,-13.5581,-9.78134,-9.41585,0.128596,NA,271.516,275.372,276.103,NA,3,2,1,-10.91843,275.7375,0.128596
2024-01-02T12:30:00Z,2.3124,133.967,5.13958,12.1509,-4.28e-4,0,-1.95e-5,83.0061,-5.76991,-13.6306,-9.85084,-9.4525,0.128527,NA,271.571,275.334,276.092,NA,3,2,1,-10.97798,275.71299999999997,0.128527
2024-01-02T13:00:00Z,2.3332,123.467,5.08437,12.1519,0.0977412,0,0.0868154,83.4379,-5.59774,-13.795,-9.93282,-9.51459,0.128466,NA,271.638,275.3,276.075,NA,3,2,1,-11.080803333333334,275.6875,0.128466
2024-01-02T13:30:00Z,2.3541,117.1,5.125,12.1519,4.55252,0,2.50191,83.3559,-5.201,-13.9199,-10.0003,-9.60906,0.128602,NA,271.639,275.277,276.055,NA,3,2,1,-11.17642,275.666,0.128602
2024-01-02T14:00:00Z,2.3749,119,5.23698,12.1522,23.1619,0,11.8907,83.4138,-2.31943,-13.9435,-10.0715,-9.65577,0.12892700000000001,NA,271.684,275.267,276.044,NA,3,2,1,-11.22359,275.65549999999996,0.12892700000000001
2024-01-02T14:30:00Z,2.3957,112.567,5.35755,12.1518,56.8657,0,29.3044,82.7426,3.5224,-13.8891,-10.0674,-9.64818,0.12886,NA,271.896,275.264,276.031,NA,3,2,1,-11.201559999999999,275.64750000000004,0.12886
2024-01-02T15:00:00Z,2.4165,113.8,5.51797,12.1522,95.4247,0,49.7479,82.6137,9.96149,-13.7569,-9.97185,-9.56097,0.128719,NA,272.198,275.269,276.023,NA,3,2,1,-11.096573333333334,275.646,0.128719
2024-01-02T15:30:00Z,2.4374,126.767,5.81719,12.1524,126.439,0,65.9808,82.2002,10.8424,-13.5405,-9.80312,-9.4543,0.128739,NA,272.587,275.287,276.02,NA,3,2,1,-10.93264,275.6535,0.128739
2024-01-02T16:00:00Z,2.4582,134.167,6.26224,12.1515,186.927,0,97.1929,81.1767,35.9133,-13.2245,-9.56242,-9.29277,0.128726,NA,273.03,275.314,276.02,NA,3,2,1,-10.69323,275.66700000000003,0.128726
2024-01-02T16:30:00Z,2.479,120.567,6.80208,12.1518,287.909,0,151.363,79.4142,63.3531,-12.8572,-9.28036,-9.10207,0.128832,NA,273.605,275.356,276.025,NA,3,2,1,-10.41321,275.6905,0.128832
2024-01-02T17:00:00Z,2.4999,111.433,7.3638,12.1515,296.476,0,156.307,77.7601,66.4811,-12.441,-8.75582,-8.85602,0.128861,NA,273.998,275.41,276.04,NA,3,2,1,-10.017613333333333,275.725,0.128861
2024-01-02T17:30:00Z,2.5207,92.4667,7.82995,12.151,320.396,0,167.882,76.8774,70.2112,-11.9751,-7.90701,-8.57064,0.128911,NA,274.29,275.484,276.064,NA,3,2,1,-9.48425,275.774,0.128911
2024-01-02T18:00:00Z,2.5415,106.267,8.05833,12.1527,316.111,0,164.329,75.5318,66.0164,-11.2461,-6.72503,-8.19362,0.128859,NA,274.564,275.58,276.098,NA,3,2,1,-8.721583333333333,275.839,0.128859
2024-01-02T18:30:00Z,2.5624,113.4,8.22526,12.1522,419.485,0,222.45,75.3271,90.1379,-10.1951,-5.51711,-7.64304,0.12886,NA,274.698,275.664,276.142,NA,3,2,1,-7.785083333333334,275.903,0.12886
2024-01-02T19:00:00Z,2.5832,135.4,8.95052,12.152,479.473,0,257.73,73.598,109.102,-9.04652,-4.3569,-6.99698,0.129393,NA,275.124,275.823,276.189,NA,3,2,1,-6.800133333333333,276.006,0.129393
