site,Date,n_obs_NEE,n_obs_GPP,n_obs_Reco,NEE_gC_day,GPP_gC_day,Reco_gC_day,cov_NEE,cov_GPP,cov_Reco
LD,2024-09-18,48,48,48,-1.442287946928928,5.131585708112672,3.689297761183744,1,1,1
LD,2024-09-19,48,48,48,-1.4157669076132517,5.305125027979281,3.8893581203660292,1,1,1
LD,2024-09-20,48,48,48,-0.29428995404353775,4.357302253290664,4.063012299247126,1,1,1
LD,2024-09-21,48,48,48,-0.05972700941107255,4.562123151523801,4.502396142112729,1,1,1
LD,2024-09-22,48,48,48,2.441059537670843,2.9111784109132492,5.352237948584091,1,1,1
LD,2024-09-23,48,48,48,0.3826220762487361,5.625437093950906,6.008059170199643,1,1,1
LD,2024-09-24,48,48,48,5.5858098205137034,1.12297551987616,6.70878534038986,1,1,1
LD,2024-09-25,48,48,48,1.991057004365015,5.02328270078537,7.0143397051503875,1,1,1
LD,2024-09-26,48,48,48,-0.37024117537379897,6.869328260506079,6.49908708513228,1,1,1
LD,2024-09-27,48,48,48,0.43113219336889963,5.993859512029831,6.424991705398729,1,1,1
LD,2024-09-28,48,48,48,1.1333162929085454,5.525783815307634,6.659100108216178,1,1,1
LD,2024-09-29,48,48,48,-0.21253514502095497,6.791290159546966,6.578755014526009,1,1,1
LD,2024-09-30,48,48,48,0.5008223266040251,5.592191300497932,6.0930136271019535,1,1,1
LD,2024-10-01,48,48,48,2.0333665161948686,3.522459809487487,5.5558263256823555,1,1,1
LD,2024-10-02,48,48,48,-1.3795179953287033,5.96666712568501,4.587149130356308,1,1,1
LD,2024-10-03,48,48,48,-1.1521496618238771,6.14505622238118,4.992906560557305,1,1,1
LD,2024-10-04,48,48,48,-0.22331569225216302,4.883979544365187,4.660663852113024,1,1,1
LD,2024-10-05,48,48,48,-1.1742456736205835,5.422448589058968,4.248202915438384,1,1,1
LD,2024-10-06,48,48,48,-0.667804517157599,5.567342160409426,4.899537643251827,1,1,1
LD,2024-10-07,48,48,48,-0.2290425286304518,4.741202198690863,4.51215967006041,1,1,1
LD,2024-10-08,48,48,48,-1.0118329814699663,5.668192098516137,4.6563591170461684,1,1,1
LD,2024-10-09,48,48,48,-1.7951887874928996,6.391454487302143,4.596265699809243,1,1,1
LD,2024-10-10,48,48,48,-1.3153301044646255,6.394226851057738,5.078896746593111,1,1,1
