Date,Rg_mean_Wm2,Tair_mean_C,RH_pct_mean,P_sum,SHF_Wm2_mean,TS_C_mean,SWC_mean,n_SHF_mean,n_TS_mean,n_SWC_mean
2024-04-26,239.23551436016874,9.222270833333354,47.949641666666665,0,1.6550263750000025,8.703034722222245,0.25976901041666667,3,3,2
2024-04-27,101.78189444083333,16.105916666666694,76.37046458333333,0.0044,14.724298934027779,10.893847222222245,0.2582121770833333,3,3,2
2024-04-28,72.38592908958334,18.112312500000023,87.52892291666667,0.0036000000000000003,18.647928333333333,13.100756944444464,0.2628051875,3,3,2
2024-04-29,118.10650296249999,13.34177083333335,91.79627291666667,0.010199999999999999,12.13412133125,12.795152777777801,0.28923851041666665,3,3,2
2024-04-30,203.97658053135416,12.50420833333336,72.92539583333334,0,7.134644307638888,12.608743055555578,0.29246222916666664,3,3,2
2024-05-01,278.81969366648127,16.06770833333336,61.19254375,0,11.852353243055557,12.897222222222249,0.2830320416666667,3,3,2
2024-05-02,257.6588867605975,14.932291666666691,63.46208333333333,0,7.2018971388888895,12.79706250000002,0.2737181458333333,3,3,2
2024-05-03,179.12158127247918,16.94025000000002,79.44506458333333,0.008,14.687777430555554,14.160687500000025,0.28113938541666667,3,3,2
2024-05-04,222.08393197020837,15.697166666666693,73.72182916666667,0,11.148625573611113,13.718944444444473,0.2823021041666667,3,3,2
2024-05-05,269.465902552875,15.209625000000026,75.77504583333334,0.0015,13.6980934375,15.058451388888914,0.27829310416666664,3,3,2
2024-05-06,271.1062591157447,13.95638297872343,60.58375957446809,0,5.043374326241135,13.812375886524844,0.2720284361702128,3,3,2
2024-05-07,145.78853422166665,14.086104166666695,64.353875,0.004899999999999999,2.827265027777777,13.230256944444468,0.26612903125,3,3,2
2024-05-08,318.2193989872917,15.338125000000021,78.2780375,0.0019,10.536373340277777,14.053881944444466,0.27253283333333334,3,3,2
2024-05-09,92.83192042770834,12.993645833333357,69.79822083333333,0,-0.5586302777777771,13.107881944444467,0.269242125,3,3,2
2024-05-10,269.1702924471875,11.846062500000023,74.08624791666666,0,3.6949940249999993,12.68561805555558,0.2664260625,3,3,2
2024-05-11,159.42014685650426,11.182574468085123,76.20380425531916,0.0053,0.06769191489361624,12.423482269503566,0.2717515,3,3,2
