Date,LD_NEE_gC_day,MD_NEE_gC_day,LD_GPP_gC_day,MD_GPP_gC_day,LD_Reco_gC_day,MD_Reco_gC_day,LD_VPD_mean_kPa,MD_VPD_mean_kPa,LD_VPD_day_kPa,MD_VPD_day_kPa,LD_VPD_midday_kPa,MD_VPD_midday_kPa,n_hh,n_Rg,frac_Rg,Rg_mean_Wm2,Rg_max_Wm2,Tair_mean_C,Tair_max_C,Tair_min_C,RH_mean_pct,VPD_mean_kPa,VPD_max_kPa,P_used_mm,SWC_mean,TS_mean_C,n_SWC_mean,n_TS_mean,n_Rg_from_Grant,n_Tair_from_Grant,n_RH_from_Grant,frac_Rg_from_Grant,frac_Tair_from_Grant,frac_RH_from_Grant
2024-02-15,1.328849810132238,1.949440415646651,0.43220815459274103,-0.441786062626981,1.7610579647249789,1.50765435301967,0.19954233023255813,0.19462291739130436,NA,NA,0.04224306666666666,0.06768439,44,44,1,17.927672361616164,202.878,0.29338636363637494,1.754000000000019,-1.42,74.03113863636364,0.16699698989388864,0.29908362913673636,0.1,0.15999127272727273,1.5615909090909383,0.5,1,22,22,22,0.5,0.5,0.5
2024-02-16,1.8780984900722817,1.4197858593857757,-0.3693279095686022,-0.11202563187852377,1.5087705805036793,1.307760227507252,0.19737017857142858,0.15978055172413794,NA,NA,NA,NA,29,29,1,1.8192808916655172,46.77777777777778,-2.867655172413788,-0.7189999999999941,-5.22,66.02592068965517,0.16872385297479978,0.21291617040819877,0,0.15996542857142856,1.5559285714285807,0.24137931034482765,0.4827586206896553,22,22,22,0.7586206896551724,0.7586206896551724,0.7586206896551724
2024-02-17,1.615107291644912,0.6305648301027275,-0.42693831666003224,0.48409883322476976,1.1881689749848794,1.1146636633274967,0.10840757837837837,0.10120844468085106,NA,NA,0.1412935,0.10848465,38,38,1,43.4005080857421,465.945,-6.684842105263135,-4.5989999999999895,-8.625,71.55697105263158,0.10676398693929459,0.1799742906127934,0,0.16107744736842106,1.2648026315789773,1,2,0,0,0,0,0,0
2024-02-18,1.091275107827215,0.9724522770000001,0.3087944447597471,0.3771171602851044,1.4000695525869626,1.3495694372851048,0.20552264864864864,0.18330616666666666,NA,NA,0.242395,0.19181289999999998,38,38,1,75.31225438378155,718.619,-1.8228157894736627,0.17900000000003047,-3.926999999999964,63.86998157894737,0.1947634080899373,0.272702118813207,0.30000000000000004,0.1605865,1.0875921052631794,1,2,0,0,0,0,0,0
2024-02-19,0.7020063412566234,0.5266084948878984,0.5746651723965248,0.7375303904359453,1.2766715136531486,1.264138885323844,0.17244685405405405,0.16249784166666667,NA,NA,0.3632222,0.33190922,39,39,1,112.72689140538405,672.345,-4.029256410256388,4.271000000000015,-11.137,70.69274102564103,0.1848215608754059,0.4826097471323968,0,0.15956684210526315,0.8858684210526574,0.9743589743589743,1.9487179487179487,1,1,1,0.02564102564102564,0.02564102564102564,0.02564102564102564
2024-02-20,0.988108926576338,0.42285982434007374,0.5366947742899265,1.1055816480506628,1.5248037008662647,1.5284414723907365,0.31134736153846154,0.2688768770833333,NA,NA,0.5491673333333333,0.4485114,39,39,1,108.05912195159488,624.556,1.3967692307692507,8.675000000000011,-3.4969999999999573,62.553651282051284,0.3000113171223138,0.6380298715943067,0,0.16149953846153847,0.671038461538485,1,2,0,0,0,0,0,0
2024-02-21,1.1847679899355428,1.600172498938909,0.6346585639809156,0.22653450031124908,1.8194265539164587,1.826706999250158,0.5216383333333333,0.49547833333333335,NA,NA,0.7216525,0.7299214,48,48,1,120.85933720612499,527.171,7.809291666666689,14.288000000000011,3.8389999999999986,55.55954583333333,0.4969264933416472,0.9358264330642607,0,0.200371125,1.522145833333356,1,2,0,0,0,0,0,0
2024-02-22,-0.15311127143609865,0.29110902032759894,1.7840019727034215,1.416770516179982,1.6308907012673226,1.7078795365075798,0.4085144139583333,0.41075019166666665,NA,NA,0.7699886,0.8071686,48,48,1,153.2280115565833,640.837,5.673958333333358,13.539000000000044,-1.8619999999999663,66.1712875,0.411966596218686,1.0989154220006894,0,0.19631766666666667,2.4918958333333556,1,2,0,0,0,0,0,0
2024-02-23,-0.0761919262862578,0.46212605983403493,1.494994875585813,1.1173532124632413,1.4188029492995549,1.5794792722972761,0.29728589583333337,0.2763399375,NA,NA,0.2553,0.2560752,48,48,1,92.64740398042082,484.345,2.819666666666693,8.107000000000028,-1.6359999999999673,64.64464375,0.2770661376087642,0.7462996538328207,0,0.18367870833333333,2.27826041666669,1,2,0,0,0,0,0,0
2024-02-24,-0.1981174188622681,-0.9309997880748001,1.143171175782188,2.2028339902343723,0.9450537569199198,1.271834202159572,0.21267799736842108,0.18948389375,NA,NA,0.28615616666666666,0.2658975,39,39,1,138.90731621971793,639.276,-5.8057435897435665,-1.481999999999971,-11.177999999999997,50.08593333333334,0.21170367887786423,0.3539360208608525,0,0.184403,0.9089102564102811,1,2,0,0,0,0,0,0
