event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_remove_high_positive,flag_impossible,auto_remove_nee,decision,reason
LD_high_night_20241119_0430,high_night,LD,2024-11-19T09:30:00Z,73.80664,73.80664,73.80664,9.22E-05,0.589543,0.215983,109.403,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,unstable period
LD_high_night_20241119_0500,high_night,LD,2024-11-19T10:00:00Z,55.4651,55.4651,55.4651,0,0.563899,0.133471,110.531,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,unstable period
LD_high_day_20241121_1100,high_day,LD,2024-11-21T16:00:00Z,141.442,141.442,141.442,150.464,0.359868,NA,201.265,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,isolated event
LD_high_night_20241123_0200,high_night,LD,2024-11-23T07:00:00Z,55.4579,55.4579,55.4579,0,0.790506,0.00613079,298.88,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillating pattern
LD_high_night_20241215_0300,high_night,LD,2024-12-15T08:00:00Z,83.7408,83.7408,83.7408,0.00164766,0.650484,NA,99.4993,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241215_0400,high_night,LD,2024-12-15T09:00:00Z,81.67214,81.67214,81.67214,7.14E-04,0.791984,NA,106.898,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241215_0830,high_night,LD,2024-12-15T13:30:00Z,115.18443,115.18443,115.18443,1.39709,0.687807,NA,116.29,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20241228_0030,high_night,LD,2024-12-28T05:30:00Z,63.52477,63.52477,63.52477,0,0.442575,NA,132.377,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,pulse
LD_high_night_20241228_0100,high_night,LD,2024-12-28T06:00:00Z,69.30201,69.30201,69.30201,0,0.470197,NA,136.726,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,pulse
MD_high_night_20240126_0230,high_night,MD,2024-01-26T07:30:00Z,57.70125,57.70125,57.70125,1.32E-04,0.341129,0.0263356,55.2025,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240126_0530,high_night,MD,2024-01-26T10:30:00Z,57.49801,57.49801,57.49801,7.72E-05,0.263099,0.0168044,18.0585,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240126_0800,high_night,MD,2024-01-26T13:00:00Z,58.05724,58.05724,58.05724,0.349004,0.22692,0.0257666,46.8032,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240215_0600,high_night,MD,2024-02-15T11:00:00Z,67.0358,67.0358,67.0358,0.055555556,0.528367,0.153245,142.248,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240305_0630,high_night,MD,2024-03-05T11:30:00Z,66.5021,66.5021,66.5021,0,0.38279,0.0286152,334.179,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
MD_high_night_20240305_2300,high_night,MD,2024-03-06T04:00:00Z,63.9775,63.9775,63.9775,0,0.33158,0.0971029,72.4792,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
