event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_fetch_excluded,flag_remove_high_positive,flag_impossible,auto_remove_nee
MD_high_night_20240126_0230,high_night,MD,2024-01-26T07:30:00Z,57.70125,57.70125,57.70125,1.31902e-4,0.341129,0.0263356,55.2025,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240126_0530,high_night,MD,2024-01-26T10:30:00Z,57.498009999999994,57.498009999999994,57.498009999999994,7.71689e-5,0.263099,0.0168044,18.0585,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240126_0800,high_night,MD,2024-01-26T13:00:00Z,58.05723999999999,58.05723999999999,58.05723999999999,0.349004,0.22692,0.0257666,46.8032,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240215_0600,high_night,MD,2024-02-15T11:00:00Z,67.0358,67.0358,67.0358,0.05555555555555556,0.528367,0.153245,142.248,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240305_0630,high_night,MD,2024-03-05T11:30:00Z,66.50210000000001,66.50210000000001,66.50210000000001,0,0.38279,0.0286152,334.179,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240305_2300,high_night,MD,2024-03-06T04:00:00Z,63.9775,63.9775,63.9775,0,0.33158,0.0971029,72.4792,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240308_1900,high_night,MD,2024-03-09T00:00:00Z,63.361005,63.361005,63.361005,0.62707,0.418564,0.0367635,67.2761,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240314_1330,high_day,MD,2024-03-14T17:30:00Z,82.56447,82.56447,82.56447,100.621,0.662485,0.09330419999999999,73.8923,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240314_1700,high_day,MD,2024-03-14T21:00:00Z,58.323710000000005,58.323710000000005,58.323710000000005,50.5408,0.721152,0.0697854,50.2254,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240322_1530,high_day,MD,2024-03-22T19:30:00Z,59.94342,59.94342,59.94342,315.413,0.29479,0.08272280000000001,103.348,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240322_1600,high_day,MD,2024-03-22T20:00:00Z,52.007006,52.007006,52.007006,244.417,0.3021,0.0724075,101.086,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
