Date,Year,DaysSinceGSStart,LD_cum_NEE_gC,MD_cum_NEE_gC,LD_cum_GPP_gC,MD_cum_GPP_gC,LD_cum_Reco_gC,MD_cum_Reco_gC,MD_minus_LD_cum_NEE_gC,MD_minus_LD_cum_GPP_gC,MD_minus_LD_cum_Reco_gC
2025-05-25,2025,40,-95.5501410385127,-78.62106447643829,292.849032703611,320.6620692298287,197.29889166509835,242.04100475339047,16.929076562074414,27.81303652621773,44.742113088292115
2025-05-26,2025,41,-100.82582846715026,-80.66055640997538,303.2454878674236,329.5498912684586,202.4196594002734,248.88933485848327,20.165272057174874,26.304403401035017,46.46967545820988
2025-05-27,2025,42,-104.45753994228039,-84.84582563383367,313.11908550564334,341.18192436767475,208.66154556336298,256.3360987338411,19.61171430844672,28.062838862031413,47.674553170478106
2025-05-28,2025,43,-102.42701870136298,-84.52468666237367,318.0457880047538,348.33385031297627,215.6187693033908,263.80916365060256,17.902332038989314,30.288062308222493,48.190394347211765
2025-05-29,2025,44,-105.71454107180952,-88.09329305674281,328.5800617458958,358.9285025620383,222.8655206740863,270.8352095052955,17.621248015066712,30.3484408161425,47.9696888312092
2025-05-30,2025,45,-106.86933093979371,-90.14676875941782,337.69113854035174,368.04692883261174,230.821807600558,277.9001600731939,16.72256218037589,30.355790292259996,47.078352472635885
2025-05-31,2025,46,-114.51999679162697,-96.38241808256547,353.17014118824056,380.88996708276676,238.65014439661357,284.50754900020127,18.1375787090615,27.719825894526195,45.857404603587696
2025-06-01,2025,47,-123.36997905294257,-101.30494017911126,369.1407707279113,392.26542698772863,245.77079167496865,290.96048680861736,22.065038873831313,23.124656259817357,45.18969513364871
2025-06-02,2025,48,-130.02207610585458,-106.27360691843037,382.9292840697168,404.3034694401954,252.9072079638622,298.029862521765,23.748469187424206,21.374185370478585,45.12265455790279
2025-06-03,2025,49,-134.01174679861637,-108.84679589702593,395.1466145389594,415.43618874852444,261.134867740343,306.58939285149853,25.164950901590444,20.289574209565046,45.45452511115553
2025-06-04,2025,50,-133.62637224038397,-111.16151489407393,402.50080367378155,425.92641144217157,268.87443143339755,314.7648965480977,22.46485734631004,23.425607768390023,45.890465114700135
